50	50
50	250
250	50
250	250
139	54
171	81
270	87
270	44
81	122
134	130
95	147
194	115
300	151
48	194
157	176
228	199
271	168
347	223
179	279
78	268
25	300
107	343
221	304
287	334
143	373
173	360
205	318
238	337
233	379
307	413
295	381
348	401
326	344
400	396
324	426
362	420
351	456
417	418
424	443
285	201
370	454
384	487
391	425
418	376
470	375
352	162
451	440
439	417
396	464
385	501
536	394
458	403
472	418
447	452
534	434
518	449
495	456
502	453
484	457
487	456
480	462
461	474
465	465
452	443
466	480
453	490
463	483
455	483
459	507
449	517
413	493
464	504
449	520
413	530
380	536
439	525
